,min,max,default,share_group,step,code,unit,disabled,cache_error,permitted_values
electricity_interconnector_6_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_6_export_availability,%,,,
electricity_interconnector_6_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_6_co2_emissions_present,gCO2/KWh,,,
electricity_interconnector_6_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_6_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_2_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_2_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_2_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_2_marginal_costs,euro,,,
electricity_interconnector_2_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_2_import_availability,%,,,
electricity_interconnector_2_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_2_export_availability,%,,,
electricity_interconnector_2_capacity,0.0,600000.0,0.0,,0.01,electricity_interconnector_2_capacity,MW,,,
electricity_interconnector_2_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_2_co2_emissions_present,gCO2/KWh,,,
electricity_interconnector_5_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_5_export_availability,%,,,
electricity_interconnector_5_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_5_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_5_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_5_marginal_costs,euro,,,
electricity_interconnector_5_capacity,0.0,600000.0,0.0,,0.01,electricity_interconnector_5_capacity,MW,,,
electricity_interconnector_5_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_5_co2_emissions_present,gCO2/KWh,,,
electricity_interconnector_5_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_5_import_availability,%,,,
electricity_interconnector_1_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_1_export_availability,%,,,
electricity_interconnector_1_capacity,0.0,600000.0,60000.0,,0.01,electricity_interconnector_1_capacity,MW,,,
electricity_interconnector_1_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_1_co2_emissions_present,gCO2/KWh,,,
electricity_interconnector_1_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_1_marginal_costs,euro,,,
electricity_interconnector_1_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_1_import_availability,%,,,
electricity_interconnector_1_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_1_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_3_capacity,0.0,600000.0,0.0,,0.01,electricity_interconnector_3_capacity,MW,,,
electricity_interconnector_3_co2_emissions_future,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_3_co2_emissions_future,gCO2/KWh,,,
electricity_interconnector_3_export_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_3_export_availability,%,,,
electricity_interconnector_3_marginal_costs,0.0,500.0,34.999999999999204,,0.1,electricity_interconnector_3_marginal_costs,euro,,,
electricity_interconnector_3_import_availability,0.0,100.0,100.0,,0.1,electricity_interconnector_3_import_availability,%,,,
electricity_interconnector_3_co2_emissions_present,0.0,1000.0,430.00034400000004,,0.1,electricity_interconnector_3_co2_emissions_present,gCO2/KWh,,,
transport_car_using_electricity_fast_charging_share,0.0,100.0,0.0,electric_cars_charging_profile,0.1,transport_car_using_electricity_fast_charging_share,%,,,
transport_car_using_electricity_hybrid_charging_share,0.0,100.0,100.0,electric_cars_charging_profile,0.1,transport_car_using_electricity_hybrid_charging_share,%,,,
transport_car_using_electricity_regular_charging_share,0.0,100.0,0.0,electric_cars_charging_profile,0.1,transport_car_using_electricity_regular_charging_share,%,,,
transport_car_using_electricity_availability,0.0,100.0,0.0,,0.1,transport_car_using_electricity_availability,%,,,
transport_car_using_electricity_home_charging_share,0.0,100.0,0.0,electric_cars_charging_profile,0.1,transport_car_using_electricity_home_charging_share,%,,,
transport_car_using_electricity_smart_charging_share,0.0,100.0,0.0,electric_cars_charging_profile,0.1,transport_car_using_electricity_smart_charging_share,%,,,
curtailment_of_energy_power_solar_pv_solar_radiation,0.0,100.0,0.0,,0.1,curtailment_of_energy_power_solar_pv_solar_radiation,%,,,
curtailment_of_buildings_solar_pv_solar_radiation,0.0,100.0,0.0,,0.1,curtailment_of_buildings_solar_pv_solar_radiation,%,,,
curtailment_of_households_solar_pv_solar_radiation,0.0,100.0,0.0,,0.1,curtailment_of_households_solar_pv_solar_radiation,%,,,
households_flexibility_p2p_electricity_market_penetration,0.0,100.0,0.0,,0.1,households_flexibility_p2p_electricity_market_penetration,%,,,
households_flexibility_consumer_electricity_price,10.0,30.0,22.5,,0.1,households_flexibility_consumer_electricity_price,euro,,,
households_flexibility_space_heating_cop_cutoff,1.0,6.0,2.6,,0.01,households_flexibility_space_heating_cop_cutoff,COP,,,
households_flexibility_consumer_gas_price,70.0,95.0,81.4,,0.1,households_flexibility_consumer_gas_price,euro,,,
households_flexibility_water_heating_cop_cutoff,1.0,6.0,6.0,,0.1,households_flexibility_water_heating_cop_cutoff,COP,,,
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,0.0,5131.006387147693,0.0,,0.1,capacity_of_energy_heat_flexibility_p2h_boiler_electricity,MW,,,
